ID,小区名称,户型,面积,区域,楼层,朝向,价格（W）,单价（平方米）,建筑时间
128,上南六村,1室0厅,28.7,浦东,中区/6层,朝南,212,73867,
129,黄山始信苑,2室2厅,76.47,浦东,中区/4层,朝南北,540,70615,1999年建
130,东陆新村六街坊,3室1厅,82.42,浦东,高区/6层,朝南,395,47925,1995年建
131,大华锦绣华城（十二街区）,2室2厅,92.37,浦东,高区/6层,朝南北,720,77947,2003年建
132,上海滩花园洋房,4室2厅,203.14,浦东,中区/5层,朝南北,1750,86147,
133,金杨七街坊,2室1厅,69.01,浦东,低区/6层,朝南,390,56513,1995年建
134,新里城和合苑,3室2厅,114.11,浦东,中区/6层,朝南北,750,65726,1999年建
135,兰园小区,2室1厅,60,浦东,高区/6层,朝南北,448,74666,1988年建
136,南杨小区（长清路）,2室1厅,58.29,浦东,高区/24层,朝南,335,57471,2001年建
137,康桥宝邸,3室2厅,101.67,浦东,高区/11层,朝南北,420,41310,2007年建
138,京浦小区,2室1厅,62.7,浦东,高区/6层,朝南,300,47846,1995年建
139,潍坊四村,2室0厅,49.17,浦东,高区/6层,朝南北,320,65080,1982年建
140,沂南路54弄,1室0厅,30.7,浦东,高区/6层,朝南,210,68403,1981年建
141,南新一村（下南路161弄）,2室1厅,80.74,浦东,中区/6层,,360,44587,
142,罗山花苑,2室2厅,69.28,浦东,高区/6层,朝南,650,93822,
143,海尚康庭,2室2厅,72.49,浦东,中区/14层,朝南,305,42074,2008年建
144,中邦城市,2室2厅,98.25,浦东,低区/12层,朝南北,550,55979,2006年建
145,潍坊二村,2室1厅,48.73,浦东,高区/6层,朝,330,67720,1978年建
146,荡湾新村,2室1厅,53.26,浦东,高区/6层,朝南北,160,30041,1986年建
147,阳光苑,2室2厅,84.9,浦东,高区/6层,朝南,320,37691,1997年建
148,万达广场（周浦）,1室1厅,55.81,浦东,中区/26层,朝东,135,24189,2009年建
149,金台三居,2室2厅,98.19,浦东,低区/6层,朝南北,495,50412,2000年建
150,康桥花园,3室2厅,95.01,浦东,高区/6层,朝南,430,45258,1995年建
151,民风小区,2室1厅,79.7,浦东,中区/5层,朝南北,300,37641,1995年建
152,鼎城丽景苑,3室2厅,127.55,浦东,中区/13层,朝,450,35280,2009年建
153,金桥酒店公寓,1室0厅,47.73,浦东,高区/19层,朝东南,450,94280,
154,昱龙家园,3室2厅,93.32,浦东,中区/5层,朝南北,370,39648,2006年建
155,汇丽苑,3室2厅,132.65,浦东,高区/12层,朝南北,560,42216,
156,泾华新村,1室0厅,34.85,浦东,中区/6层,朝南,260,74605,1992年建
157,金杨新村八街坊,2室1厅,91.47,浦东,中区/24层,朝东北,435,47556,1996年建
158,毕加索小镇（一期）（公寓）,3室2厅,232.15,浦东,低区/8层,朝南北,980,42214,2010年建
159,学前二村,2室1厅,65.59,浦东,高区/6层,朝南,310,47263,1993年建
160,地杰国际城,3室2厅,110.22,浦东,高区/27层,朝南北,570,51714,2009年建
161,巨西小区,1室1厅,35.95,浦东,低区/6层,朝南,275,76495,1993年建
162,泾东小区,1室1厅,45.01,浦东,高区/6层,朝南,330,73317,
163,惠德新邨,3室1厅,93.32,浦东,中区/7层,朝南,550,58936,1996年建
164,罗山五村,2室1厅,58.24,浦东,低区/6层,朝南,330,56662,1990年建
165,梅园五街坊,2室1厅,57.44,浦东,高区/6层,朝南北,530,92270,1994年建
166,恒大小区,2室1厅,64.22,浦东,高区/6层,朝南,360,56057,1995年建
167,东陆新村七街坊,2室1厅,57.71,浦东,高区/6层,朝南北,265,45919,1997年建
168,汇智湖畔家园,2室2厅,87.69,浦东,高区/17层,朝南北,850,96932,2013年建
169,汇智湖畔家园,3室2厅,111.06,浦东,高区/18层,朝南北,980,88240,2013年建
170,世茂滨江花园,2室2厅,147.39,浦东,中区/47层,朝西北,1400,94986,
171,绿洲康城亲水湾,3室2厅,124.35,浦东,高区/12层,朝南北,760,61117,2010年建
172,潍坊九村,2室0厅,49.47,浦东,低区/6层,朝,420,84899,1986年建
173,万科金色城市,3室2厅,89.25,浦东,高区/18层,朝南北,685,76750,
174,桃李家园,2室2厅,89.25,浦东,低区/6层,朝南北,600,67226,2000年建
175,济阳二村,2室1厅,65.69,浦东,中区/18层,朝南,395,60130,1993年建
176,阳明花园广场,2室2厅,103.31,浦东,中区/19层,朝西南,428,41428,1996年建
177,香楠小区,2室1厅,62.75,浦东,中区/6层,朝南,360,57370,
178,云台路86号,2室1厅,75.3,浦东,高区/16层,朝南,480,63745,1993年建
179,恒大华城新华苑,3室1厅,87.74,浦东,中区/6层,朝,540,61545,1998年建
180,绿洲康城亲水湾,2室2厅,102.95,浦东,中区/7层,朝南北,560,54395,2007年建
181,合欢公寓,2室1厅,69.5,浦东,低区/6层,朝南北,303,43597,1999年建
182,御桥花园,2室1厅,63,浦东,中区/6层,朝南北,360,57142,1996年建
183,品华苑,2室2厅,76.55,浦东,高区/6层,朝南北,414,54082,1999年建
184,潍坊八村,2室0厅,51.79,浦东,中区/6层,朝南北,390,75304,1984年建
185,桃林小区,2室2厅,81.98,浦东,中区/6层,朝南北,780,95145,1996年建
186,鑫龙佳苑,3室1厅,112.44,浦东,中区/6层,,410,36463,1997年建
187,由由五村,2室1厅,54.91,浦东,低区/6层,朝南北,325,59187,1994年建
188,巨峰家苑（公寓）,2室2厅,99.45,浦东,中区/13层,朝南北,620,62342,2005年建
189,凌云公寓（浦东）,2室1厅,66.45,浦东,低区/18层,朝南,365,54928,1999年建
190,明珠苑（浦东）,3室2厅,88.86,浦东,中区/6层,朝南北,780,87778,1998年建
191,金地未未来,2室2厅,89.31,浦东,中区/15层,朝南,650,72780,2009年建
192,同方锦城,3室2厅,110.29,浦东,低区/6层,朝南,715,64829,2003年建
193,金新花苑,2室2厅,77.38,浦东,中区/6层,朝南,380,49108,
194,富特三村,3室1厅,73.38,浦东,高区/6层,朝南,325,44289,1994年建
195,金光小区,2室1厅,60.16,浦东,低区/6层,朝,350,58178,1997年建
196,金顺小区,2室1厅,77.13,浦东,中区/6层,朝南,485,62880,1994年建
197,南杨花园,2室1厅,82.1,浦东,低区/6层,朝南,475,57856,1997年建
198,雍江星座香园,2室1厅,92.91,浦东,中区/6层,朝南北,720,77494,2002年建
199,新里城和合苑,2室1厅,69.57,浦东,高区/6层,朝南,470,67557,1999年建
200,天虹苑,3室2厅,130.43,浦东,低区/12层,朝南北,880,67469,2003年建
201,潼港八村,2室1厅,70.94,浦东,高区/6层,朝南,300,42289,1994年建
202,三林世博家园（大道站路94弄）,3室2厅,115.78,浦东,高区/6层,朝南北,560,48367,2006年建
203,翰锦苑,2室2厅,100.17,浦东,低区/13层,朝南北,650,64889,2003年建
204,大华锦绣华城（一街区）,4室2厅,73.58,浦东,高区/6层,朝南北,680,92416,2008年建
205,羽山路1000弄,2室1厅,67.04,浦东,低区/6层,朝南北,570,85023,1997年建
206,凌兆新村（上浦路165弄）,1室1厅,51.66,浦东,高区/6层,朝南,280,54200,1995年建
207,品新苑,3室2厅,111.43,浦东,低区/18层,朝南,570,51153,2000年建
208,万馨佳园,3室2厅,98.71,浦东,低区/6层,朝南北,465,47107,2005年建
209,樱花坊,2室1厅,77.49,浦东,高区/6层,朝南北,645,83236,1995年建
210,文化馨苑,3室2厅,122.44,浦东,中区/6层,朝南,760,62071,2004年建
211,云台一小区,2室1厅,59.23,浦东,高区/6层,朝南,358,60442,1994年建
212,香山新村西北街坊,2室1厅,67.29,浦东,高区/6层,朝南,385,57215,1996年建
213,潍坊七村,2室0厅,46.36,浦东,低区/6层,朝南北,390,84124,1983年建
214,金桥新家园,2室2厅,79.88,浦东,低区/20层,朝西南,500,62593,2005年建
215,毕加索小镇（一期）（公寓）,2室2厅,166.6,浦东,低区/8层,朝南北,600,36014,2010年建
216,金桥都市花园,2室2厅,106.19,浦东,低区/11层,朝南北,630,59327,2000年建
217,浦三小区,2室1厅,67.26,浦东,低区/6层,朝南,325,48319,1997年建
218,宏莲馨苑,2室2厅,93.1,浦东,中区/6层,朝南,610,65520,2003年建
219,东陆新村九街坊,2室1厅,67.63,浦东,中区/6层,朝南北,360,53230,1996年建
220,东陆新村六街坊,3室1厅,82.79,浦东,高区/6层,朝南,380,45899,1995年建
221,罗山四村,2室1厅,60.13,浦东,高区/6层,朝南北,330,54881,1990年建
222,新里城和合苑,3室2厅,113.78,浦东,高区/5层,朝南北,760,66795,1999年建
223,沪东新村,1室1厅,36.31,浦东,中区/5层,朝南,175,48196,1953年建
224,海东公寓,2室2厅,79.87,浦东,高区/6层,朝南,445,55715,1997年建
225,寿光路161弄,1室1厅,43.93,浦东,低区/6层,朝东南,230,52356,1994年建
226,金杨七街坊,1室1厅,47.27,浦东,高区/6层,朝南,240,50772,
227,巨峰家苑（公寓）,1室1厅,56.02,浦东,高区/6层,朝南,345,61585,2005年建
228,金桥新村四街坊（长岛路1203弄）,2室1厅,72.28,浦东,中区/6层,朝南北,450,62257,1997年建
229,上浦小区,2室2厅,91.7,浦东,中区/6层,朝南北,322,35114,1993年建
230,都林嘉苑（南苑）（杨南路1168弄）,2室2厅,89.21,浦东,中区/5层,,560,62773,2002年建
231,翰锦苑,2室2厅,97.52,浦东,低区/13层,朝南北,630,64602,2003年建
232,双桥小区,2室1厅,75.97,浦东,高区/6层,朝南北,465,61208,1997年建
233,恒大华城上河苑,3室2厅,107.48,浦东,中区/6层,朝南,730,67919,2001年建
234,明丰花园,5室2厅,125.78,浦东,低区/6层,朝南北,770,61217,2003年建
235,香山新村东北街坊,2室1厅,60.91,浦东,低区/6层,朝南北,370,60745,1995年建
236,浦东世纪花园（公寓）,3室2厅,181.7,浦东,低区/21层,朝南北,1560,85855,2002年建
237,住友名人花园,2室2厅,106.14,浦东,中区/18层,朝南北,750,70661,2002年建
238,东源名都,2室2厅,103.87,浦东,低区/18层,朝南,540,51988,2009年建
239,品华苑,2室1厅,76.06,浦东,中区/6层,朝南,420,55219,1999年建
240,万邦都市花园,3室2厅,112.84,浦东,低区/18层,朝南,936,82949,
241,杉林新月（环林东路799弄）,2室1厅,77.58,浦东,低区/16层,朝,410,52848,2004年建
242,东旺名苑,4室3厅,76.8,浦东,高区/6层,朝南,650,84635,2010年建
243,东方知音苑,2室2厅,87.62,浦东,中区/11层,朝南北,700,79890,2003年建
244,金藤苑,2室1厅,63.5,浦东,低区/6层,朝南北,340,53543,1998年建
245,大唐盛世花园,3室2厅,139.88,浦东,低区/11层,朝南北,1250,89362,2008年建
246,明丰花园,3室2厅,126.29,浦东,低区/11层,朝南北,720,57011,2003年建
247,东南新村（浦东）,1室1厅,34.91,浦东,高区/5层,朝南,298,85362,
248,名嘉新苑,3室2厅,125.57,浦东,中区/18层,朝南北,775,61718,2007年建
249,东方知音苑,4室2厅,137.53,浦东,中区/5层,朝南北,1120,81436,2002年建
250,大华锦绣华城（十二街区）,3室2厅,102.07,浦东,高区/6层,朝南,820,80337,2003年建
251,东城新村,3室1厅,78.48,浦东,高区/7层,朝南,600,76452,2000年建
252,浦东南路4800弄,1室1厅,43.25,浦东,低区/7层,朝南,280,64739,1987年建
253,上南十村,3室1厅,74.72,浦东,低区/6层,朝南北,460,61563,1992年建
254,汇豪天下,2室2厅,88.93,浦东,低区/35层,朝南,980,110199,
255,万科金色雅筑,3室2厅,89.7,浦东,中区/11层,朝南北,650,72463,2008年建
256,巨峰家苑（公寓）,2室2厅,99.08,浦东,低区/7层,朝南北,620,62575,2005年建
257,长岛公寓,3室1厅,99.81,浦东,中区/24层,朝东南,440,44083,2000年建
258,中环滨江大厦,2室2厅,89.31,浦东,高区/14层,朝南,560,62702,2008年建
259,晓园,2室2厅,150.6,浦东,低区/9层,朝西南,1310,86985,
260,金桥新村四街坊（长岛路1201弄）,3室1厅,85.01,浦东,高区/6层,朝南,510,59992,1997年建
261,展想悦廷,1室1厅,52.98,浦东,中区/16层,朝西,170,32087,2007年建
262,八方大厦,2室1厅,113.01,浦东,中区/26层,朝南,650,57517,1998年建
263,金宝公寓,2室2厅,91,浦东,低区/5层,朝南北,350,38461,2004年建
264,新领地,1室1厅,62.03,浦东,中区/29层,,315,50781,2002年建
265,南杨花园,2室1厅,60.3,浦东,高区/6层,朝南,385,63847,1996年建
266,东陆新村八街坊,1室1厅,54.18,浦东,高区/6层,朝南,297,54817,1996年建
267,百富达公寓,4室2厅,149.25,浦东,中区/6层,朝南北,799,53534,1997年建
268,张杨路370弄,1室0厅,30.48,浦东,高区/6层,朝南,265,86942,1985年建
269,临沂八村,2室1厅,55.59,浦东,中区/6层,朝西南,325,58463,1989年建
270,三林安居苑,2室1厅,64.02,浦东,中区/6层,朝南北,359,56076,1998年建
271,金谊河畔,2室2厅,107.18,浦东,低区/16层,朝南北,710,66243,2009年建
272,绿洲康城亲水湾,1室2厅,67.91,浦东,低区/14层,朝南,360,53011,2010年建
273,华高二村,3室1厅,86.01,浦东,中区/6层,朝南,430,49994,1998年建
274,荷三小区,2室1厅,67.39,浦东,高区/6层,朝南,328,48671,1995年建
275,三林世博家园（大道站路94弄）,1室1厅,56.71,浦东,高区/6层,朝南北,325,57309,2006年建
276,民康苑,3室2厅,106.52,浦东,高区/17层,朝南北,580,54449,2008年建
277,牡丹路186弄,3室1厅,91.32,浦东,低区/6层,朝南北,650,71178,1995年建
278,凌兆新村（上浦路201弄）,2室2厅,49.04,浦东,低区/6层,朝,295,60154,
279,昌七小区,2室1厅,61,浦东,高区/6层,朝南,345,56557,1996年建
280,港机新村,1室0厅,35.78,浦东,高区/6层,朝,210,58692,1987年建
281,昌里花园,2室2厅,86,浦东,高区/13层,朝南,585,68023,1998年建
282,南杨小区（长清路）,2室1厅,68.47,浦东,低区/6层,,370,54038,1995年建
283,荷三小区,2室1厅,55.72,浦东,低区/6层,朝南,298,53481,1997年建
284,张江汤臣豪园（二期）,3室2厅,134.65,浦东,中区/16层,朝南北,1030,76494,
285,华高一村,2室1厅,81.06,浦东,高区/6层,朝南,360,44411,1997年建
286,云台二小区,2室1厅,72.55,浦东,低区/24层,朝东南,429,59131,1995年建
287,金桥湾清水苑,3室2厅,116.51,浦东,中区/6层,朝南北,630,54072,1998年建
288,碧云新天地（一期）,2室2厅,80.01,浦东,高区/6层,朝南北,570,71241,2002年建
289,爱法新城,2室2厅,94.61,浦东,高区/6层,朝南北,570,60247,2002年建
290,中芯花园（公寓）,2室2厅,89.68,浦东,中区/6层,,560,62444,2005年建
291,潍坊一村,2室0厅,47.68,浦东,高区/6层,,318,66694,1985年建
292,由由一村,1室1厅,41.37,浦东,低区/5层,朝南,250,60430,1997年建
293,金桥新村四街坊（博兴路986弄）,2室1厅,57.79,浦东,中区/6层,朝南,340,58833,1997年建
294,金杨新村五街坊,3室2厅,74.34,浦东,高区/6层,朝南,395,53134,1994年建
295,联洋花园（二期）,3室2厅,169.62,浦东,低区/18层,朝南,1250,73694,
296,连城新苑,2室2厅,95.85,浦东,中区/11层,朝南北,540,56338,2006年建
297,建业新村,2室1厅,73.99,浦东,中区/6层,朝南,450,60819,1997年建
298,大唐盛世花园,3室2厅,143.54,浦东,中区/17层,朝南北,1400,97533,2003年建
299,金浦小区（塘桥）,1室1厅,41.03,浦东,高区/6层,朝南,278,67755,1994年建
300,瑞达苑,3室2厅,105,浦东,中区/5层,朝南北,795,75714,1999年建
301,上南翡翠苑,3室2厅,106.32,浦东,低区/6层,朝南北,750,70541,2006年建
302,上南二村,2室1厅,69.36,浦东,高区/6层,朝南,430,61995,1981年建
303,博一小区,1室1厅,48.78,浦东,高区/6层,朝南,245,50225,1995年建
304,塘南小区,3室1厅,46.76,浦东,高区/5层,朝南,330,70573,1978年建
305,荷五小区,2室1厅,68.66,浦东,高区/6层,朝南,360,52432,1995年建
306,莲杨苑,2室1厅,84.3,浦东,低区/6层,朝南北,540,64056,2005年建
307,潼港六村,3室1厅,73.85,浦东,高区/6层,朝南北,310,41976,1993年建
308,明纶园,2室2厅,83.46,浦东,低区/6层,朝南北,370,44332,2003年建
309,周康四村,1室1厅,56.01,浦东,中区/5层,朝南北,280,49991,2001年建
310,潍坊二村,1室1厅,45.43,浦东,低区/6层,朝南,325,71538,1982年建
311,星云小区,2室1厅,78.88,浦东,高区/6层,朝南,560,70993,1995年建
312,云锦丽苑,2室2厅,84.45,浦东,低区/6层,朝南,155,18354,2006年建
313,绿地东上海,2室2厅,114.47,浦东,低区/18层,朝南北,680,59404,2010年建
314,海尚乐苑,2室2厅,78.34,浦东,低区/14层,朝南,330,42124,2010年建
315,联丰苑,3室1厅,115.75,浦东,低区/6层,朝南北,650,56155,1999年建
